,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,summary
19,"Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone",Riley Keough,Jaeden Martell,Lia McHugh,Drama Horror Thriller,the lodge,"Riley Keough Jaeden Martell Lia McHugh Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone Drama Horror Thriller"
20,Tom McCarthy,Winslow Fegley,Ophelia Lovibond,Craig Robinson,Family Mystery Comedy Fantasy,timmy failure: mistakes were made,Winslow Fegley Ophelia Lovibond Craig Robinson Tom McCarthy Family Mystery Comedy Fantasy
21,Jeff Baena,Alison Brie,Debby Ryan,John Paul Reynolds,Drama,horse girl,Alison Brie Debby Ryan John Paul Reynolds Jeff Baena Drama
22,Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher,Romance Comedy,to all the boys: p.s. i still love you,Lana Condor Noah Centineo Jordan Fisher Michael Fimognari Romance Comedy
23,Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,Action Science Fiction Comedy Family,sonic the hedgehog,James Marsden Ben Schwartz Tika Sumpter Jeff Fowler Action Science Fiction Comedy Family
24,Jeff Wadlow,Michael Peña,Maggie Q,Lucy Hale,Horror Fantasy Adventure Mystery,fantasy island,Michael Peña Maggie Q Lucy Hale Jeff Wadlow Horror Fantasy Adventure Mystery
25,Stella Meghie,Issa Rae,Lakeith Stanfield,Chelsea Peretti,Drama Romance,the photograph,Issa Rae Lakeith Stanfield Chelsea Peretti Stella Meghie Drama Romance
26,"Nat Faxon, Jim Rash",Julia Louis-Dreyfus,Will Ferrell,Miranda Otto,Drama Comedy,downhill,"Julia Louis-Dreyfus Will Ferrell Miranda Otto Nat Faxon, Jim Rash Drama Comedy"
27,Drew Mylrea,Drew Van Acker,Poppy Delevingne,Natasha Bassett,Action Adventure Comedy,spy intervention,Drew Van Acker Poppy Delevingne Natasha Bassett Drew Mylrea Action Adventure Comedy
28,Lone Scherfig,Andrea Riseborough,Tahar Rahim,Zoe Kazan,Drama,the kindness of strangers,Andrea Riseborough Tahar Rahim Zoe Kazan Lone Scherfig Drama
29,Chris Sanders,Harrison Ford,Dan Stevens,Omar Sy,Adventure Family Drama,the call of the wild,Harrison Ford Dan Stevens Omar Sy Chris Sanders Adventure Family Drama
30,"Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe",Anne Hathaway,Ben Affleck,Rosie Perez,Drama Thriller,the last thing he wanted,"Anne Hathaway Ben Affleck Rosie Perez Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe Drama Thriller"
31,William Brent Bell,Katie Holmes,Owain Yeoman,Christopher Convery,Horror Mystery Thriller,brahms: the boy ii,Katie Holmes Owain Yeoman Christopher Convery William Brent Bell Horror Mystery Thriller
32,Michael Cristofer,Tye Sheridan,Ana de Armas,Helen Hunt,Thriller Crime Drama,the night clerk,Tye Sheridan Ana de Armas Helen Hunt Michael Cristofer Thriller Crime Drama
33,Chris Henchy,Brian Quinn,Joe Gatto,Sal Vulcano,Comedy,impractical jokers: the movie,Brian Quinn Joe Gatto Sal Vulcano Chris Henchy Comedy
34,Leigh Whannell,Elisabeth Moss,Aldis Hodge,Storm Reid,Thriller Science Fiction Horror,the invisible man,Elisabeth Moss Aldis Hodge Storm Reid Leigh Whannell Thriller Science Fiction Horror
35,Brett Haley,Elle Fanning,Justice Smith,Alexandra Shipp,Romance Drama,all the bright places,Elle Fanning Justice Smith Alexandra Shipp Brett Haley Romance Drama
37,Jason Lei Howden,Daniel Radcliffe,Samara Weaving,Natasha Liu Bordizzo,Comedy Action,guns akimbo,Daniel Radcliffe Samara Weaving Natasha Liu Bordizzo Jason Lei Howden Comedy Action
38,Dan Scanlon,Tom Holland,Chris Pratt,Julia Louis-Dreyfus,Family Animation Adventure Comedy Fantasy,onward,Tom Holland Chris Pratt Julia Louis-Dreyfus Dan Scanlon Family Animation Adventure Comedy Fantasy
39,Gavin O'Connor,Ben Affleck,Al Madrigal,Michaela Watkins,Drama,the way back,Ben Affleck Al Madrigal Michaela Watkins Gavin O'Connor Drama
40,Peter Berg,Mark Wahlberg,Winston Duke,Alan Arkin,Comedy Action Thriller,spenser confidential,Mark Wahlberg Winston Duke Alan Arkin Peter Berg Comedy Action Thriller
41,George Nolfi,Anthony Mackie,Nicholas Hoult,Nia Long,Drama,the banker,Anthony Mackie Nicholas Hoult Nia Long George Nolfi Drama
42,Giuseppe Capotondi,Claes Bang,Elizabeth Debicki,Mick Jagger,Thriller Drama Mystery,the burnt orange heresy,Claes Bang Elizabeth Debicki Mick Jagger Giuseppe Capotondi Thriller Drama Mystery
43,Carlo Mirabella-Davis,Haley Bennett,Austin Stowell,Elizabeth Marvel,Thriller,swallow,Haley Bennett Austin Stowell Elizabeth Marvel Carlo Mirabella-Davis Thriller
44,Kelly Reichardt,John Magaro,Orion Hall,René Auberjonois,Drama Western,first cow,John Magaro Orion Hall René Auberjonois Kelly Reichardt Drama Western
45,Dave S. F. Wilson,Vin Diesel,Eiza González,Sam Heughan,Action Science Fiction,bloodshot,Vin Diesel Eiza González Sam Heughan Dave S. F. Wilson Action Science Fiction
46,Craig Zobel,Betty Gilpin,Ike Barinholtz,Amy Madigan,Action Thriller Horror,the hunt,Betty Gilpin Ike Barinholtz Amy Madigan Craig Zobel Action Thriller Horror
47,Erwin Brothers,KJ Apa,Britt Robertson,Shania Twain,Music Drama Romance,i still believe,KJ Apa Britt Robertson Shania Twain Erwin Brothers Music Drama Romance
48,Liz Garbus,Amy Ryan,Thomasin McKenzie,Lola Kirke,Drama Fantasy,lost girls,Amy Ryan Thomasin McKenzie Lola Kirke Liz Garbus Drama Fantasy
49,Julia Hart,Grace VanderWaal,Graham Verchere,Giancarlo Esposito,Comedy Drama Romance,stargirl,Grace VanderWaal Graham Verchere Giancarlo Esposito Julia Hart Comedy Drama Romance
50,Sally Potter,Javier Bardem,Elle Fanning,Laura Linney,Drama,the roads not taken,Javier Bardem Elle Fanning Laura Linney Sally Potter Drama
51,Eliza Hittman,Sidney Flanigan,Talia Ryder,Theodore Pellerin,Drama,never rarely sometimes always,Sidney Flanigan Talia Ryder Theodore Pellerin Eliza Hittman Drama
52,Jason Orley,Pete Davidson,Griffin Gluck,Jon Cryer,Comedy,big time adolescence,Pete Davidson Griffin Gluck Jon Cryer Jason Orley Comedy
